RegionName,District
10001,Manhattan
10002,Manhattan
10003,Manhattan
10004,Manhattan
10005,Manhattan
10006,Manhattan
10007,Manhattan
10009,Manhattan
10010,Manhattan
10011,Manhattan
10012,Manhattan
10013,Manhattan
10014,Manhattan
10015,Manhattan
10016,Manhattan
10017,Manhattan
10018,Manhattan
10019,Manhattan
10020,Manhattan
10021,Manhattan
10022,Manhattan
10023,Manhattan
10024,Manhattan
10025,Manhattan
10026,Manhattan
10027,Manhattan
10028,Manhattan
10029,Manhattan
10030,Manhattan
10031,Manhattan
10032,Manhattan
10033,Manhattan
10034,Manhattan
10035,Manhattan
10036,Manhattan
10037,Manhattan
10038,Manhattan
10039,Manhattan
10040,Manhattan
10041,Manhattan
10044,Manhattan
10045,Manhattan
10048,Manhattan
10055,Manhattan
10060,Manhattan
10069,Manhattan
10090,Manhattan
10095,Manhattan
10098,Manhattan
10099,Manhattan
10103,Manhattan
10104,Manhattan
10105,Manhattan
10106,Manhattan
10107,Manhattan
10110,Manhattan
10111,Manhattan
10112,Manhattan
10115,Manhattan
10118,Manhattan
10119,Manhattan
10120,Manhattan
10121,Manhattan
10122,Manhattan
10123,Manhattan
10128,Manhattan
10151,Manhattan
10152,Manhattan
10153,Manhattan
10154,Manhattan
10155,Manhattan
10158,Manhattan
10161,Manhattan
10162,Manhattan
10165,Manhattan
10166,Manhattan
10167,Manhattan
10168,Manhattan
10169,Manhattan
10170,Manhattan
10171,Manhattan
10172,Manhattan
10173,Manhattan
10174,Manhattan
10175,Manhattan
10176,Manhattan
10177,Manhattan
10178,Manhattan
10199,Manhattan
10270,Manhattan
10271,Manhattan
10278,Manhattan
10279,Manhattan
10280,Manhattan
10281,Manhattan
10282,Manhattan
11201,Brooklyn
11203,Brooklyn
11204,Brooklyn
11205,Brooklyn
11206,Brooklyn
11207,Brooklyn
11208,Brooklyn
11209,Brooklyn
11210,Brooklyn
11211,Brooklyn
11212,Brooklyn
11213,Brooklyn
11214,Brooklyn
11215,Brooklyn
11216,Brooklyn
11217,Brooklyn
11218,Brooklyn
11219,Brooklyn
11220,Brooklyn
11221,Brooklyn
11222,Brooklyn
11223,Brooklyn
11224,Brooklyn
11225,Brooklyn
11226,Brooklyn
11228,Brooklyn
11229,Brooklyn
11230,Brooklyn
11231,Brooklyn
11232,Brooklyn
11233,Brooklyn
11234,Brooklyn
11235,Brooklyn
11236,Brooklyn
11237,Brooklyn
11238,Brooklyn
11239,Brooklyn
11241,Brooklyn
11242,Brooklyn
11243,Brooklyn
11249,Brooklyn
11252,Brooklyn
11256,Brooklyn
